"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J33";"JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02";;;
2;"C31,C30,C0,C10,C11,C20,C21";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";7;"100nF";;;
3;"R32,R33,R0,R10,R20,R30,R31";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";7;"10K";;;
4;"U14B1,U15B1,U16B1,U14A1,U15A1,U16A1,U1A1,U2A1,U3A1,U4A1,U5A1,U6A1,U7A1,U8A1,U9A1,U10A1,U11A1,U1B1,U2B1,U3B1,U4B1,U5B1,U6B1,U7B1,U8B1,U9B1,U10B1,U11B1,U12A1,U12B1,U13A1,U13B1";"5050";32;"APA102";;;
5;"J0";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
6;"SW0,SW1,SW2";"RAFI_MICON5_SMD";3;"SPST";;;
7;"J10";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card_Det";;;
8;"J20";"CH291-1220LF";1;"Batt_clip";;;
9;"U10";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"TXB0108PWR";;;
10;"U20";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
11;"J30,J34";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";2;"JST PH2.0";;;
12;"J31,J32";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";2;"JST PH2.0";;;
13;"U30";"ARDUINO_NANO_33_IOT_SMD_SOCKET_NH";1;"ARDUINO_NANO_33_IOT";;;
14;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";11;"MountingHole_3.2mm_M3";;;
15;"G***";"idStudiolab_20.8x38.9";1;"LOGO";;;
